path,x,y,class,new_path,type_defect,importance_defect,name_defect,x_min,y_min,x_max,y_max
0/1538/frame0006.bmp,809.0,336.0,3.0,1.jpg,1.0,1.0,crack_1,,,,
0/1538/frame0007.bmp,667.0,318.0,3.0,2.jpg,1.0,1.0,crack_1,,,,
0/1538/frame0007.bmp,811.0,523.0,3.0,2.jpg,1.0,1.0,crack_1,,,,
0/1538/frame0009.bmp,576.0,313.0,3.0,3.jpg,1.0,1.0,crack_1,,,,
0/1538/frame0009.bmp,724.0,509.0,3.0,3.jpg,1.0,1.0,crack_1,,,,
0/1538/frame0011.bmp,478.0,504.0,3.0,4.jpg,1.0,1.0,crack_1,,,,
0/1538/frame0011.bmp,326.0,322.0,3.0,4.jpg,1.0,1.0,crack_1,,,,
0/1538/frame0012.bmp,279.0,326.0,3.0,5.jpg,1.0,1.0,crack_1,,,,
0/1538/frame0012.bmp,432.0,503.0,3.0,5.jpg,1.0,1.0,crack_1,,,,
0/1538/frame0013.bmp,242.0,331.0,3.0,6.jpg,1.0,1.0,crack_1,,,,
0/1538/frame0013.bmp,376.0,511.0,3.0,6.jpg,1.0,1.0,crack_1,,,,
0/1538/frame0015.bmp,122.0,356.0,3.0,7.jpg,1.0,1.0,crack_1,,,,
0/1538/frame0015.bmp,236.0,514.0,3.0,7.jpg,1.0,1.0,crack_1,,,,
0/1538mov/0_421_1.bmp,355.0,243.0,3.0,9.jpg,1.0,1.0,crack_1,,,,
0/1538mov/0_421_1.bmp,515.0,444.0,3.0,9.jpg,1.0,1.0,crack_1,,,,
0/1538mov/0_422.bmp,236.0,262.0,3.0,10.jpg,1.0,1.0,crack_1,,,,
0/1538mov/0_422.bmp,404.0,466.0,3.0,10.jpg,1.0,1.0,crack_1,,,,
0/1538mov/0_425.bmp,458.0,450.0,3.0,11.jpg,1.0,1.0,crack_1,,,,
0/1538mov/0_425.bmp,298.0,255.0,3.0,11.jpg,1.0,1.0,crack_1,,,,
0/1538mov/0_426.bmp,774.0,387.0,3.0,12.jpg,1.0,1.0,crack_1,,,,
0/1538mov/0_426_1.bmp,674.0,133.0,3.0,13.jpg,1.0,1.0,crack_1,,,,
0/1538mov/0_426_1.bmp,815.0,361.0,3.0,13.jpg,1.0,1.0,crack_1,,,,
0/1538mov/0_426_2.bmp,546.0,140.0,3.0,14.jpg,1.0,1.0,crack_1,,,,
0/1538mov/0_426_2.bmp,697.0,354.0,3.0,14.jpg,1.0,1.0,crack_1,,,,
0/1538mov/0_545.bmp,817.0,180.0,3.0,15.jpg,1.0,1.0,crack_1,,,,
0/1538mov/1_425_1.bmp,513.0,255.0,3.0,16.jpg,1.0,1.0,crack_1,,,,
0/1538mov/1_426.bmp,194.0,388.0,3.0,17.jpg,1.0,1.0,crack_1,,,,
0/1538mov/1_426_1.bmp,118.0,173.0,3.0,18.jpg,1.0,1.0,crack_1,,,,
0/1538mov/1_426_1.bmp,242.0,345.0,3.0,18.jpg,1.0,1.0,crack_1,,,,
0/1538mov/1_527.bmp,437.0,218.0,3.0,19.jpg,1.0,1.0,crack_1,,,,
0/1538mov/1_528.bmp,282.0,424.0,3.0,20.jpg,1.0,1.0,crack_1,,,,
0/1538mov/1_541.bmp,251.0,299.0,3.0,21.jpg,1.0,1.0,crack_1,,,,
0/1538mov/1_541.bmp,401.0,480.0,3.0,21.jpg,1.0,1.0,crack_1,,,,
0/1538mov/1_544.bmp,420.0,267.0,3.0,22.jpg,1.0,1.0,crack_1,,,,
0/1538mov/1_544.bmp,583.0,473.0,3.0,22.jpg,1.0,1.0,crack_1,,,,
0/1538mov/1_545.bmp,250.0,164.0,3.0,23.jpg,1.0,1.0,crack_1,,,,
0/1538mov/1_545.bmp,396.0,352.0,3.0,23.jpg,1.0,1.0,crack_1,,,,
0/1538mov/1_546.bmp,542.0,165.0,3.0,24.jpg,1.0,1.0,crack_1,,,,
0/1538mov/1_546.bmp,700.0,372.0,3.0,24.jpg,1.0,1.0,crack_1,,,,
0/1538mov/2_424.bmp,695.0,103.0,3.0,25.jpg,1.0,1.0,crack_1,,,,
0/1538mov/2_425.bmp,551.0,303.0,3.0,26.jpg,1.0,1.0,crack_1,,,,
0/1538mov/2_425.bmp,709.0,500.0,3.0,26.jpg,1.0,1.0,crack_1,,,,
