,path,x,y,class,new_path,type_defect,importance_defect,name_defect
0,0/1538/frame0006.bmp,809.0,336.0,3.0,1.jpg,1.0,1.0,crack_1
1,0/1538/frame0007.bmp,667.0,318.0,3.0,2.jpg,1.0,1.0,crack_1
2,0/1538/frame0007.bmp,811.0,523.0,3.0,2.jpg,1.0,1.0,crack_1
3,0/1538/frame0009.bmp,576.0,313.0,3.0,3.jpg,1.0,1.0,crack_1
4,0/1538/frame0009.bmp,724.0,509.0,3.0,3.jpg,1.0,1.0,crack_1
5,0/1538/frame0011.bmp,478.0,504.0,3.0,4.jpg,1.0,1.0,crack_1
6,0/1538/frame0011.bmp,326.0,322.0,3.0,4.jpg,1.0,1.0,crack_1
7,0/1538/frame0012.bmp,279.0,326.0,3.0,5.jpg,1.0,1.0,crack_1
8,0/1538/frame0012.bmp,432.0,503.0,3.0,5.jpg,1.0,1.0,crack_1
9,0/1538/frame0013.bmp,242.0,331.0,3.0,6.jpg,1.0,1.0,crack_1
10,0/1538/frame0013.bmp,376.0,511.0,3.0,6.jpg,1.0,1.0,crack_1
11,0/1538/frame0015.bmp,122.0,356.0,3.0,7.jpg,1.0,1.0,crack_1
12,0/1538/frame0015.bmp,236.0,514.0,3.0,7.jpg,1.0,1.0,crack_1
13,0/1538mov/0_421_1.bmp,355.0,243.0,3.0,9.jpg,1.0,1.0,crack_1
14,0/1538mov/0_421_1.bmp,515.0,444.0,3.0,9.jpg,1.0,1.0,crack_1
15,0/1538mov/0_422.bmp,236.0,262.0,3.0,10.jpg,1.0,1.0,crack_1
16,0/1538mov/0_422.bmp,404.0,466.0,3.0,10.jpg,1.0,1.0,crack_1
17,0/1538mov/0_425.bmp,458.0,450.0,3.0,11.jpg,1.0,1.0,crack_1
18,0/1538mov/0_425.bmp,298.0,255.0,3.0,11.jpg,1.0,1.0,crack_1
19,0/1538mov/0_426.bmp,774.0,387.0,3.0,12.jpg,1.0,1.0,crack_1
20,0/1538mov/0_426_1.bmp,674.0,133.0,3.0,13.jpg,1.0,1.0,crack_1
21,0/1538mov/0_426_1.bmp,815.0,361.0,3.0,13.jpg,1.0,1.0,crack_1
22,0/1538mov/0_426_2.bmp,546.0,140.0,3.0,14.jpg,1.0,1.0,crack_1
23,0/1538mov/0_426_2.bmp,697.0,354.0,3.0,14.jpg,1.0,1.0,crack_1
24,0/1538mov/0_545.bmp,817.0,180.0,3.0,15.jpg,1.0,1.0,crack_1
25,0/1538mov/1_425_1.bmp,513.0,255.0,3.0,16.jpg,1.0,1.0,crack_1
26,0/1538mov/1_426.bmp,194.0,388.0,3.0,17.jpg,1.0,1.0,crack_1
27,0/1538mov/1_426_1.bmp,118.0,173.0,3.0,18.jpg,1.0,1.0,crack_1
28,0/1538mov/1_426_1.bmp,242.0,345.0,3.0,18.jpg,1.0,1.0,crack_1
29,0/1538mov/1_527.bmp,437.0,218.0,3.0,19.jpg,1.0,1.0,crack_1
30,0/1538mov/1_528.bmp,282.0,424.0,3.0,20.jpg,1.0,1.0,crack_1
31,0/1538mov/1_541.bmp,251.0,299.0,3.0,21.jpg,1.0,1.0,crack_1
32,0/1538mov/1_541.bmp,401.0,480.0,3.0,21.jpg,1.0,1.0,crack_1
33,0/1538mov/1_544.bmp,420.0,267.0,3.0,22.jpg,1.0,1.0,crack_1
34,0/1538mov/1_544.bmp,583.0,473.0,3.0,22.jpg,1.0,1.0,crack_1
35,0/1538mov/1_545.bmp,250.0,164.0,3.0,23.jpg,1.0,1.0,crack_1
36,0/1538mov/1_545.bmp,396.0,352.0,3.0,23.jpg,1.0,1.0,crack_1
37,0/1538mov/1_546.bmp,542.0,165.0,3.0,24.jpg,1.0,1.0,crack_1
38,0/1538mov/1_546.bmp,700.0,372.0,3.0,24.jpg,1.0,1.0,crack_1
39,0/1538mov/2_424.bmp,695.0,103.0,3.0,25.jpg,1.0,1.0,crack_1
40,0/1538mov/2_425.bmp,551.0,303.0,3.0,26.jpg,1.0,1.0,crack_1
41,0/1538mov/2_425.bmp,709.0,500.0,3.0,26.jpg,1.0,1.0,crack_1
42,0/1538mov/2_426.bmp,741.0,99.0,3.0,27.jpg,1.0,1.0,crack_1
43,0/1538mov/2_426.bmp,885.0,317.0,3.0,27.jpg,1.0,1.0,crack_1
44,0/1538mov/2_426_3.bmp,695.0,108.0,3.0,28.jpg,1.0,1.0,crack_1
45,0/1538mov/2_426_3.bmp,846.0,319.0,3.0,28.jpg,1.0,1.0,crack_1
46,0/1538mov/2_427.bmp,751.0,501.0,3.0,29.jpg,1.0,1.0,crack_1
47,0/1538mov/2_427_2.bmp,741.0,290.0,3.0,30.jpg,1.0,1.0,crack_1
48,0/1538mov/2_427_2.bmp,583.0,85.0,3.0,30.jpg,1.0,1.0,crack_1
49,0/1538mov/2_427_3.bmp,704.0,506.0,3.0,31.jpg,1.0,1.0,crack_1
50,0/1538mov/2_545.bmp,737.0,221.0,3.0,32.jpg,1.0,1.0,crack_1
51,0/1538mov/2_546.bmp,160.0,389.0,3.0,33.jpg,1.0,1.0,crack_1
52,0/1538mov/3_425.bmp,791.0,152.0,3.0,34.jpg,1.0,1.0,crack_1
53,0/1538mov/3_426.bmp,600.0,249.0,3.0,35.jpg,1.0,1.0,crack_1
54,0/1538mov/3_426_.bmp,215.0,279.0,3.0,36.jpg,1.0,1.0,crack_1
55,0/1538mov/3_426_.bmp,91.0,121.0,3.0,36.jpg,1.0,1.0,crack_1
56,0/1538mov/3_426_2.bmp,791.0,522.0,3.0,37.jpg,1.0,1.0,crack_1
57,0/1538mov/3_426_2.bmp,666.0,328.0,3.0,37.jpg,1.0,1.0,crack_1
58,0/1538mov/3_426_3.bmp,169.0,296.0,3.0,38.jpg,1.0,1.0,crack_1
59,0/1538mov/3_427.bmp,444.0,443.0,3.0,39.jpg,1.0,1.0,crack_1
60,0/1538mov/3_532.bmp,807.0,196.0,3.0,40.jpg,1.0,1.0,crack_1
61,0/1538mov/3_533.bmp,670.0,366.0,3.0,41.jpg,1.0,1.0,crack_1
